Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 15:47:34 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_144_20211007193234/ (124.0 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_144_20211007193234_141/ (124.0 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_145_20211007194210/ (133.3 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_145_20211007194210_142/ (133.3 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_146_20211007195604/ (132.9 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_146_20211007195604_143/ (132.9 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_147_20211007202113/ (155.2 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_147_20211007202113_144/ (155.2 MB, 1694d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_148_20211013202131/ (41.5 MB, 1688d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_148_20211013202131_145/ (41.5 MB, 1688d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_149_20211014142838/ (41.5 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_149_20211014142838_146/ (41.5 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_14_20210728192139/ (22.2 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_14_20211206182246/ (18.5 MB, 1634d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_14_20220124190445/ (277.4 KB, 1585d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_14_20220224205016/ (439.5 KB, 1554d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_14_20220419155129_10/ (8.9 MB, 1500d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_150_20211014144511/ (41.4 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_150_20211014144511_147/ (41.4 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_151_20211014152002/ (101.0 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_151_20211014152002_148/ (101.0 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_152_20211014152540/ (49.7 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_152_20211014152540_149/ (49.7 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_153_20211014152732/ (8.8 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_153_20211014152732_150/ (8.8 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_154_20211014153350/ (8.8 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_154_20211014153350_151/ (8.8 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_155_20211014155734/ (32.7 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_155_20211014155734_152/ (32.7 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_156_20211014161012/ (7.2 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_156_20211014161012_153/ (7.2 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_157_20211014165820/ (1.6 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_157_20211014165820_154/ (1.6 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_158_20211014192628/ (123.5 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_158_20211014192628_155/ (123.5 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_159_20211014202743/ (236.5 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20210728192215/ (4.9 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20211206182421/ (18.5 MB, 1634d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220124191013/ (277.4 KB, 1585d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220224213647/ (439.5 KB, 1554d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220420123215_11/ (39.0 MB, 1499d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_21/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_22/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_23/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_24/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_25/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_26/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_27/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_28/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_29/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_30/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_31/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_32/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_33/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_34/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_35/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_36/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_37/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_38/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_40/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_41/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_43/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_44/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_48/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_49/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_15_20220620224819_50/ (80.9 KB, 1438d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_160_20211014204155/ (236.5 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_160_20211014204155_157/ (236.5 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_161_20211014204252/ (230.2 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_161_20211014204252_158/ (230.2 MB, 1687d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_162_20211015154248/ (448.8 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_162_20211015154248_159/ (448.8 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_163_20211015185857/ (250.4 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_163_20211015185857_160/ (250.4 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_164_20211015193923/ (220.9 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_164_20211015193923_161/ (220.9 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_165_20211015200054/ (216.1 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_165_20211015200054_162/ (216.1 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_166_20211015202756/ (334.6 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_167_20211015203439/ (334.7 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_167_20211015203439_163/ (334.7 MB, 1686d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_168_20211018144616/ (281.7 MB, 1683d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_168_20211018144616_164/ (281.7 MB, 1683d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_169_20211018181046/ (316.6 MB, 1683d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_169_20211018181046_165/ (316.6 MB, 1683d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_16_20210728193614/ (22.2 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_16_20210728193614_15/ (22.2 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_16_20211206182700/ (11.2 MB, 1634d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_16_20220125184040/ (277.4 KB, 1584d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_16_20220125184040_5/ (277.4 KB, 1584d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_16_20220224215206/ (177.1 KB, 1554d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_16_20220420123517_12/ (1.4 MB, 1499d old)
